daypk,pk,date,year,day,time,weekday_/_weekend?,precinct,street,section,side,no_of_cars,no_of_available_spaces,actual_spaces,total_spaces,no_of_permits,asd
2015-1,642234,2015-08-18,2015,Weekday 1,08:00:00,weekday,6,Wellesley St West,Hobson St to Nelson St,north,2.0,1.0,3,4,0.0,1
2015-1,642234,2015-08-18,2015,Weekday 1,08:00:00,weekday,6,Wellesley St West,Halsey St to Nelson St,north,6.0,6.0,12,12,0.0,0
2015-1,642234,2015-08-18,2015,Weekday 1,08:00:00,weekday,6,Wellesley St West,Halsey St to Nelson St,south,11.0,22.0,33,33,0.0,0
2015-1,642234,2015-08-18,2015,Weekday 1,08:00:00,weekday,6,Wellesley St West,Hobson St to Nelson St,south,1.0,2.0,3,3,0.0,0
2015-1,642234,2015-08-18,2015,Weekday 1,08:00:00,weekday,6,Hobson St,Wellesley St West to Victoria St West,west,10.0,5.0,15,16,0.0,1
2015-1,642234,2015-08-18,2015,Weekday 1,08:00:00,weekday,6,Hobson St,Victoria St West to Wyndham St,west,2.0,6.0,8,8,0.0,0
2015-1,642234,2015-08-18,2015,Weekday 1,08:00:00,weekday,6,Hobson St,Bradnor Ln to Wyndham St,west,2.0,2.0,4,4,0.0,0
2015-1,642234,2015-08-18,2015,Weekday 1,08:00:00,weekday,6,Hobson St,Bradnor Ln to Fanshawe St,west,5.0,7.0,12,12,0.0,0
2015-1,642234,2015-08-18,2015,Weekday 1,08:00:00,weekday,6,Hobson St,Swanson St to Wolfe St,east,4.0,5.0,9,9,0.0,0
2015-1,642234,2015-08-18,2015,Weekday 1,08:00:00,weekday,6,Hobson St,Wellesley St West to Victoria St West,east,6.0,0.0,6,6,0.0,0
2015-1,642234,2015-08-18,2015,Weekday 1,08:00:00,weekday,6,Victoria St West,Halsey St to Nelson St,south,16.0,1.0,17,17,0.0,0
2015-1,642234,2015-08-18,2015,Weekday 1,08:00:00,weekday,6,Graham St,Victoria St West to Graham St,east,10.0,2.0,12,12,0.0,0
2015-1,642234,2015-08-18,2015,Weekday 1,08:00:00,weekday,6,Graham St,Hardinge St to Graham St,north,10.0,0.0,10,10,0.0,0
2015-1,642234,2015-08-18,2015,Weekday 1,08:00:00,weekday,6,Graham St,Hardinge St to Graham St,south,8.0,0.0,8,8,0.0,0
2015-1,642234,2015-08-18,2015,Weekday 1,08:00:00,weekday,6,Hardinge St,Victoria St West to Graham St,west,23.0,4.0,27,27,0.0,0
2015-1,642234,2015-08-18,2015,Weekday 1,08:00:00,weekday,6,Dock St,Victoria St West to the end of Dock St,west,8.0,5.0,13,14,0.0,1
2015-1,642234,2015-08-18,2015,Weekday 1,08:00:00,weekday,6,Nelson St,Victoria St West to Wyndham St,west,4.0,7.0,11,11,0.0,0
2015-1,642234,2015-08-18,2015,Weekday 1,08:00:00,weekday,6,Nelson St,Victoria St West to Wyndham St,east,10.0,0.0,10,11,0.0,1
2015-1,642234,2015-08-18,2015,Weekday 1,08:00:00,weekday,6,Nelson St,Wellesley St West to Victoria St West,west,10.0,7.0,17,17,0.0,0
2015-1,642234,2015-08-18,2015,Weekday 1,08:00:00,weekday,6,Wyndham St,Hobson St to Nelson St,south,5.0,1.0,6,7,0.0,1
2015-1,642234,2015-08-18,2015,Weekday 1,09:00:00,weekday,6,Wellesley St West,Hobson St to Nelson St,north,4.0,0.0,4,4,0.0,0
2015-1,642234,2015-08-18,2015,Weekday 1,09:00:00,weekday,6,Wellesley St West,Halsey St to Nelson St,north,11.0,1.0,12,12,0.0,0
2015-1,642234,2015-08-18,2015,Weekday 1,09:00:00,weekday,6,Wellesley St West,Halsey St to Nelson St,south,17.0,16.0,33,33,0.0,0
2015-1,642234,2015-08-18,2015,Weekday 1,09:00:00,weekday,6,Wellesley St West,Hobson St to Nelson St,south,3.0,0.0,3,3,0.0,0
2015-1,642234,2015-08-18,2015,Weekday 1,09:00:00,weekday,6,Hobson St,Wellesley St West to Victoria St West,west,14.0,0.0,14,16,0.0,2
2015-1,642234,2015-08-18,2015,Weekday 1,09:00:00,weekday,6,Hobson St,Victoria St West to Wyndham St,west,5.0,2.0,7,8,0.0,1
2015-1,642234,2015-08-18,2015,Weekday 1,09:00:00,weekday,6,Hobson St,Bradnor Ln to Wyndham St,west,2.0,2.0,4,4,0.0,0
2015-1,642234,2015-08-18,2015,Weekday 1,09:00:00,weekday,6,Hobson St,Bradnor Ln to Fanshawe St,west,9.0,3.0,12,12,0.0,0
2015-1,642234,2015-08-18,2015,Weekday 1,09:00:00,weekday,6,Hobson St,Swanson St to Wolfe St,east,6.0,2.0,8,9,0.0,1
2015-1,642234,2015-08-18,2015,Weekday 1,09:00:00,weekday,6,Hobson St,Wellesley St West to Victoria St West,east,6.0,0.0,6,6,0.0,0
2015-1,642234,2015-08-18,2015,Weekday 1,09:00:00,weekday,6,Victoria St West,Halsey St to Nelson St,south,8.0,8.0,16,17,0.0,1
2015-1,642234,2015-08-18,2015,Weekday 1,09:00:00,weekday,6,Graham St,Victoria St West to Graham St,east,12.0,0.0,12,12,0.0,0
2015-1,642234,2015-08-18,2015,Weekday 1,09:00:00,weekday,6,Graham St,Hardinge St to Graham St,north,8.0,1.0,9,10,0.0,1
2015-1,642234,2015-08-18,2015,Weekday 1,09:00:00,weekday,6,Graham St,Hardinge St to Graham St,south,8.0,0.0,8,8,0.0,0
2015-1,642234,2015-08-18,2015,Weekday 1,09:00:00,weekday,6,Hardinge St,Victoria St West to Graham St,west,23.0,4.0,27,27,0.0,0
2015-1,642234,2015-08-18,2015,Weekday 1,09:00:00,weekday,6,Dock St,Victoria St West to the end of Dock St,west,10.0,4.0,14,14,0.0,0
2015-1,642234,2015-08-18,2015,Weekday 1,09:00:00,weekday,6,Nelson St,Victoria St West to Wyndham St,west,6.0,6.0,12,11,0.0,-1
2015-1,642234,2015-08-18,2015,Weekday 1,09:00:00,weekday,6,Nelson St,Victoria St West to Wyndham St,east,10.0,0.0,10,11,0.0,1
2015-1,642234,2015-08-18,2015,Weekday 1,09:00:00,weekday,6,Nelson St,Wellesley St West to Victoria St West,west,16.0,0.0,16,17,0.0,1
2015-1,642234,2015-08-18,2015,Weekday 1,09:00:00,weekday,6,Wyndham St,Hobson St to Nelson St,south,5.0,2.0,7,7,0.0,0
2015-1,642234,2015-08-18,2015,Weekday 1,10:00:00,weekday,6,Wellesley St West,Hobson St to Nelson St,north,4.0,0.0,4,4,0.0,0
2015-1,642234,2015-08-18,2015,Weekday 1,10:00:00,weekday,6,Wellesley St West,Halsey St to Nelson St,north,11.0,1.0,12,12,0.0,0
2015-1,642234,2015-08-18,2015,Weekday 1,10:00:00,weekday,6,Wellesley St West,Halsey St to Nelson St,south,24.0,9.0,33,33,0.0,0
2015-1,642234,2015-08-18,2015,Weekday 1,10:00:00,weekday,6,Wellesley St West,Hobson St to Nelson St,south,3.0,0.0,3,3,0.0,0
2015-1,642234,2015-08-18,2015,Weekday 1,10:00:00,weekday,6,Hobson St,Wellesley St West to Victoria St West,west,12.0,4.0,16,16,0.0,0
2015-1,642234,2015-08-18,2015,Weekday 1,10:00:00,weekday,6,Hobson St,Victoria St West to Wyndham St,west,8.0,0.0,8,8,0.0,0
2015-1,642234,2015-08-18,2015,Weekday 1,10:00:00,weekday,6,Hobson St,Bradnor Ln to Wyndham St,west,2.0,1.0,3,4,0.0,1
2015-1,642234,2015-08-18,2015,Weekday 1,10:00:00,weekday,6,Hobson St,Bradnor Ln to Fanshawe St,west,9.0,3.0,12,12,0.0,0
2015-1,642234,2015-08-18,2015,Weekday 1,10:00:00,weekday,6,Hobson St,Swanson St to Wolfe St,east,5.0,3.0,8,9,0.0,1
2015-1,642234,2015-08-18,2015,Weekday 1,10:00:00,weekday,6,Hobson St,Wellesley St West to Victoria St West,east,6.0,0.0,6,6,0.0,0
2015-1,642234,2015-08-18,2015,Weekday 1,10:00:00,weekday,6,Victoria St West,Halsey St to Nelson St,south,4.0,13.0,17,17,0.0,0
2015-1,642234,2015-08-18,2015,Weekday 1,10:00:00,weekday,6,Graham St,Victoria St West to Graham St,east,11.0,1.0,12,12,0.0,0
2015-1,642234,2015-08-18,2015,Weekday 1,10:00:00,weekday,6,Graham St,Hardinge St to Graham St,north,7.0,3.0,10,10,0.0,0
2015-1,642234,2015-08-18,2015,Weekday 1,10:00:00,weekday,6,Graham St,Hardinge St to Graham St,south,8.0,0.0,8,8,0.0,0
2015-1,642234,2015-08-18,2015,Weekday 1,10:00:00,weekday,6,Hardinge St,Victoria St West to Graham St,west,22.0,5.0,27,27,0.0,0
2015-1,642234,2015-08-18,2015,Weekday 1,10:00:00,weekday,6,Dock St,Victoria St West to the end of Dock St,west,11.0,2.0,13,14,0.0,1
2015-1,642234,2015-08-18,2015,Weekday 1,10:00:00,weekday,6,Nelson St,Victoria St West to Wyndham St,west,6.0,2.0,8,11,0.0,3
2015-1,642234,2015-08-18,2015,Weekday 1,10:00:00,weekday,6,Nelson St,Victoria St West to Wyndham St,east,8.0,2.0,10,11,0.0,1
2015-1,642234,2015-08-18,2015,Weekday 1,10:00:00,weekday,6,Nelson St,Wellesley St West to Victoria St West,west,18.0,0.0,18,17,0.0,-1
2015-1,642234,2015-08-18,2015,Weekday 1,10:00:00,weekday,6,Wyndham St,Hobson St to Nelson St,south,4.0,2.0,6,7,0.0,1
